,Mobile_list,PRICES,SPEC,Camera,MAH,Display,Processor
0,"realme C11 2021 (Cool Blue, 32 GB)","₹7,549",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor
1,"realme C11 2021 (Cool Grey, 32 GB)","₹7,549",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor
2,"realme 8 (Cyber Black, 128 GB)","₹16,099",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio G95 Processor
3,"realme 8 (Cyber Silver, 128 GB)","₹16,099",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio G95 Processor
4,"realme C11 2021 (Cool Blue, 64 GB)","₹9,049",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor
5,"realme C11 2021 (Cool Grey, 64 GB)","₹9,049",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor
6,"realme 8 (Cyber Silver, 128 GB)","₹17,049",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio G95 Processor
7,"realme 8 (Cyber Black, 128 GB)","₹18,049",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio G95 Processor
8,"realme 8 (Cyber Silver, 128 GB)","₹18,049",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio G95 Processor
9,"realme C35 (Glowing Black, 64 GB)","₹11,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,16.76 cm (6.6 inch) Full HD+ Display,Unisoc Tiger T616 Processor
10,"realme C35 (Glowing Green, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,16.76 cm (6.6 inch) Full HD+ Display,Unisoc Tiger T616 Processor
11,"realme C21Y (Cross Black, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor
12,"realme C21Y (Cross Blue, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor
13,"realme C21Y (Cross Black, 32 GB)","₹9,190",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor
14,"realme C25_Y (Metal Grey, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh LiPo Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T618 Processor
